S.No. ,Email,Curriculum Progress,Quiz Score, Bonus Points, Total Score, % Score, badge,3123,3126,3136,3137,3138,3140,3141,3142,3143,3144
53,cc31c38dfef878a9c358d435aa5362cfeeb4e3f3ffb4c10b809418f7,10 out of 10 Course Completed,915 out of 1000,5,920,92.00%,,75,95,100,100,70,100,100,95,95,85
54,46d600b207427c0d907f608cb226b1dd2b610dd5423cda476c2e2493,10 out of 10 Course Completed,905 out of 1000,30,935,93.50%,platinum,75,95,100,85,75,100,90,100,90,95
55,731be6a3c6566f7ab54c999e90f44e503f5a5d48e61572bce8acddf3,10 out of 10 Course Completed,825 out of 1000,20,845,84.50%,gold,45,80,85,80,80,90,90,100,90,85
56,f9ae1e2e5888a54878d1df771430c75c8619135332dd8e54711312d8,10 out of 10 Course Completed,885 out of 1000,20,905,90.50%,,75,85,90,80,95,100,90,90,90,90
57,2e661383534105cf9d7f9176ef9f9725677161e21782250ff9c35d34,9 out of 10 Course Completed,590 out of 900,5,595,66.11%,,65,0,85,75,85,100,na,0,85,95
58,8d9f58a9ff84806a3f8256d4094c55dceb15fdefeb5c2fa77bf430fa,10 out of 10 Course Completed,770 out of 1000,5,775,77.50%,gold,75,70,60,75,80,80,90,90,65,85
59,a64c3c4e4d0d5e0cadc1c7be7941a8a7a875a69c38b95c02de701040,10 out of 10 Course Completed,910 out of 1000,5,915,91.50%,,80,100,80,95,85,100,95,95,95,85
60,686786c93a788797e38591c17abd8590f507f87424dc49046d074251,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
61,c8e83c664e327479254b95a08e1b61d345ef985f4e792b3d2c3217a4,10 out of 10 Course Completed,930 out of 1000,0,930,93.00%,platinum,80,95,95,100,80,100,100,100,95,85
62,e4dd21113ccece97395f9eade5bd1ed1cb3325f32d4716af71887e35,10 out of 10 Course Completed,615 out of 1000,0,615,61.50%,silver,65,65,45,45,70,60,70,60,80,55
63,4abb0cc18dbbfa233ff0834b3f0378ac8a749dfa47767188f0243442,10 out of 10 Course Completed,920 out of 1000,30,950,95.00%,platinum,85,90,90,90,80,100,95,100,95,95
64,91bdf7bb70ba5897b1d773b64c3f4b13413a4453ec66142674526abd,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
65,87e6965b5ff11845ed379c216370a5f30cbb4a723fd545f9809a23ce,10 out of 10 Course Completed,905 out of 1000,30,935,93.50%,platinum,85,95,80,95,80,100,90,100,90,90
66,a553ede9769bb9060573b2e8a3eb977bffea20dae0bcfbbd5b087c66,10 out of 10 Course Completed,795 out of 1000,0,795,79.50%,gold,75,75,85,85,70,85,80,80,80,80
67,ec41331f6dbdd66903fa2290b5695dbf6aaf62998026f1ca671738b8,10 out of 10 Course Completed,735 out of 1000,5,740,74.00%,,45,85,75,85,65,100,60,90,45,85
68,89f1eac4e58a98e90b2cd4588baf12185bed7e4e023426a93241bd23,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
69,64792114b59b426a4d5450c6f597ed65f3cc8b154a34e369bca9f57f,10 out of 10 Course Completed,865 out of 1000,15,880,88.00%,,75,70,85,80,80,95,100,100,95,85
70,7578eb52c58a4a67f864fb9f1d7e1b933549cd8babe73bd42ba0d07c,10 out of 10 Course Completed,930 out of 1000,35,965,96.50%,platinum,80,90,100,95,85,100,95,95,95,95
71,6d63cd35ea4d22bcb473dff7a2bfb1bf1e6179f03beba4b76377ba37,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
72,d9303292bc7d8f6d1cc9a9958ea89d5fb90cf57518c0b309b845b33e,10 out of 10 Course Completed,660 out of 1000,0,660,66.00%,silver,45,75,50,75,65,65,60,75,75,75
73,4c7df2fc091eddc14a97ec63a7e27fda91b54e84b05ed1d7e6076d33,10 out of 10 Course Completed,745 out of 1000,15,760,76.00%,,70,50,65,65,65,100,100,95,75,60
74,93a69a30934a475fd5e09669defe0bedf784eaf3564e578ec2dac4e8,10 out of 10 Course Completed,915 out of 1000,25,940,94.00%,,95,75,100,95,95,100,90,95,85,85
75,58237eb701551ecaffe4825adc7ed6eb32fa1c2993d7252e7829b24e,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
76,7429fa59eedfccc6d88d2fdeeb13710fc04bc2370e4537d96f777205,10 out of 10 Course Completed,775 out of 1000,10,785,78.50%,,75,80,80,65,65,100,65,60,90,95
77,810f8e601a5b5b6cec72d5d1bc46e52b71e26ef916166f919a6bcdf7,10 out of 10 Course Completed,915 out of 1000,30,945,94.50%,platinum,80,90,95,95,80,100,90,100,95,90
78,d80146be5e7771b046cb1037f9118f660b475efd533210dcd01dbcf8,10 out of 10 Course Completed,855 out of 1000,0,855,85.50%,gold,95,90,80,90,75,100,80,85,85,75
79,b2df37ebdd3e9cae12d2ea263832890c4bbb20b241ff09fd0ef883ee,10 out of 10 Course Completed,940 out of 1000,45,985,98.50%,platinum,95,95,95,90,90,100,100,95,85,95
80,24e0136fac882d8568c9cbc9c5882db63a2cc58b8a7c83269a63be76,10 out of 10 Course Completed,935 out of 1000,25,960,96.00%,platinum,90,100,95,95,90,95,90,95,95,90
81,a402c9ab70f2d03d663ce24a5d22873c43dd471f546257ad3dd767d2,10 out of 10 Course Completed,745 out of 1000,0,745,74.50%,,65,75,65,75,75,80,95,60,75,80
82,ed1cd804c6ef3101ca354c813a2cb336fa0750892d25981d355dafac,10 out of 10 Course Completed,800 out of 1000,0,800,80.00%,,75,75,85,90,70,80,75,85,75,90
83,b0bcd26b08fa8de0e9bdad512a229aa16ba9221af6a774c91948379f,10 out of 10 Course Completed,830 out of 1000,15,845,84.50%,,75,75,70,75,80,100,80,95,90,90
84,745972897e401a4cc9a832c8e2051ed5daa2e4e49dc2c99e7c68a22c,10 out of 10 Course Completed,925 out of 1000,15,940,94.00%,,90,90,90,95,90,100,90,95,95,90
85,ceb8f37505b2307f8d795ba76ae5a5f1574152c12d3a7e57318e907e,10 out of 10 Course Completed,855 out of 1000,15,870,87.00%,,70,90,90,90,75,95,95,85,85,80
86,92540d793713ee0598c32b16472c0b169512f6b3f7007c803ac39916,10 out of 10 Course Completed,935 out of 1000,0,935,93.50%,platinum,80,100,95,95,85,100,90,100,95,95
87,9b930fff50067b6cd2f8d3d591e3728fbce09554ac6b3b511986f112,10 out of 10 Course Completed,745 out of 1000,5,750,75.00%,,75,45,70,70,65,40,95,100,95,90
88,3d0aad41d22c10b1e54bef5cf658b635c1a19307ae632de18233af78,10 out of 10 Course Completed,780 out of 1000,5,785,78.50%,gold,65,80,75,85,70,85,90,85,60,85
89,4cfdb343b27ac0d90f4afe0c40d8bce7e430cd7fb581b1fad987c757,10 out of 10 Course Completed,820 out of 1000,5,825,82.50%,gold,85,85,85,75,70,80,75,95,95,75
90,9b1adcedd4467770d0c6f8d578cb054624bfb17d5ca8a2d5efa75c2a,10 out of 10 Course Completed,960 out of 1000,40,1000,100.00%,platinum,90,95,100,95,95,100,100,95,95,95
